"","date","state","case","daily_case"
"District of Columbia.1309",2020-05-19,"District of Columbia",7434,164
"Florida.1310",2020-01-22,"Florida",0,0
"Florida.1311",2020-01-23,"Florida",0,0
"Florida.1312",2020-01-24,"Florida",0,0
"Florida.1313",2020-01-25,"Florida",0,0
"Florida.1314",2020-01-26,"Florida",0,0
"Florida.1315",2020-01-27,"Florida",0,0
"Florida.1316",2020-01-28,"Florida",0,0
"Florida.1317",2020-01-29,"Florida",0,0
"Florida.1318",2020-01-30,"Florida",0,0
"Florida.1319",2020-01-31,"Florida",0,0
"Florida.1320",2020-02-01,"Florida",0,0
"Florida.1321",2020-02-02,"Florida",0,0
"Florida.1322",2020-02-03,"Florida",0,0
"Florida.1323",2020-02-04,"Florida",0,0
"Florida.1324",2020-02-05,"Florida",0,0
"Florida.1325",2020-02-06,"Florida",0,0
"Florida.1326",2020-02-07,"Florida",0,0
"Florida.1327",2020-02-08,"Florida",0,0
"Florida.1328",2020-02-09,"Florida",0,0
"Florida.1329",2020-02-10,"Florida",0,0
"Florida.1330",2020-02-11,"Florida",0,0
"Florida.1331",2020-02-12,"Florida",0,0
"Florida.1332",2020-02-13,"Florida",0,0
"Florida.1333",2020-02-14,"Florida",0,0
"Florida.1334",2020-02-15,"Florida",0,0
"Florida.1335",2020-02-16,"Florida",0,0
"Florida.1336",2020-02-17,"Florida",0,0
"Florida.1337",2020-02-18,"Florida",0,0
"Florida.1338",2020-02-19,"Florida",0,0
"Florida.1339",2020-02-20,"Florida",0,0
"Florida.1340",2020-02-21,"Florida",0,0
"Florida.1341",2020-02-22,"Florida",0,0
"Florida.1342",2020-02-23,"Florida",0,0
"Florida.1343",2020-02-24,"Florida",0,0
"Florida.1344",2020-02-25,"Florida",0,0
"Florida.1345",2020-02-26,"Florida",0,0
"Florida.1346",2020-02-27,"Florida",0,0
"Florida.1347",2020-02-28,"Florida",0,0
"Florida.1348",2020-02-29,"Florida",0,0
"Florida.1349",2020-03-01,"Florida",0,0
"Florida.1350",2020-03-02,"Florida",1,1
"Florida.1351",2020-03-03,"Florida",2,1
"Florida.1352",2020-03-04,"Florida",2,0
"Florida.1353",2020-03-05,"Florida",3,1
"Florida.1354",2020-03-06,"Florida",3,0
"Florida.1355",2020-03-07,"Florida",7,4
"Florida.1356",2020-03-08,"Florida",10,3
"Florida.1357",2020-03-09,"Florida",13,3
"Florida.1358",2020-03-10,"Florida",15,2
"Florida.1359",2020-03-11,"Florida",24,9
"Florida.1360",2020-03-12,"Florida",30,6
"Florida.1361",2020-03-13,"Florida",50,20
"Florida.1362",2020-03-14,"Florida",76,26
"Florida.1363",2020-03-15,"Florida",100,24
"Florida.1364",2020-03-16,"Florida",101,1
"Florida.1365",2020-03-17,"Florida",190,89
"Florida.1366",2020-03-18,"Florida",306,116
"Florida.1367",2020-03-19,"Florida",432,126
"Florida.1368",2020-03-20,"Florida",564,132
"Florida.1369",2020-03-21,"Florida",763,199
"Florida.1370",2020-03-22,"Florida",1004,241
"Florida.1371",2020-03-23,"Florida",1227,223
"Florida.1372",2020-03-24,"Florida",1412,185
"Florida.1373",2020-03-25,"Florida",1682,270
"Florida.1374",2020-03-26,"Florida",2357,675
"Florida.1375",2020-03-27,"Florida",2900,543
"Florida.1376",2020-03-28,"Florida",3763,863
"Florida.1377",2020-03-29,"Florida",4246,483
"Florida.1378",2020-03-30,"Florida",5473,1227
"Florida.1379",2020-03-31,"Florida",6741,1268
"Florida.1380",2020-04-01,"Florida",6956,215
"Florida.1381",2020-04-02,"Florida",9008,2052
"Florida.1382",2020-04-03,"Florida",10268,1260
"Florida.1383",2020-04-04,"Florida",11537,1269
"Florida.1384",2020-04-05,"Florida",12350,813
"Florida.1385",2020-04-06,"Florida",13324,974
"Florida.1386",2020-04-07,"Florida",14545,1221
"Florida.1387",2020-04-08,"Florida",15456,911
"Florida.1388",2020-04-09,"Florida",16364,908
"Florida.1389",2020-04-10,"Florida",17531,1167
"Florida.1390",2020-04-11,"Florida",18494,963
"Florida.1391",2020-04-12,"Florida",19895,1401
"Florida.1392",2020-04-13,"Florida",21019,1124
"Florida.1393",2020-04-14,"Florida",21628,609
"Florida.1394",2020-04-15,"Florida",22511,883
"Florida.1395",2020-04-16,"Florida",23343,832
"Florida.1396",2020-04-17,"Florida",24759,1416
"Florida.1397",2020-04-18,"Florida",25492,733
"Florida.1398",2020-04-19,"Florida",26314,822
"Florida.1399",2020-04-20,"Florida",27059,745
"Florida.1400",2020-04-21,"Florida",27869,810
"Florida.1401",2020-04-22,"Florida",28309,440
"Florida.1402",2020-04-23,"Florida",29648,1339
"Florida.1403",2020-04-24,"Florida",30533,885
"Florida.1404",2020-04-25,"Florida",30839,306
"Florida.1405",2020-04-26,"Florida",31532,693
"Florida.1406",2020-04-27,"Florida",32138,606
"Florida.1407",2020-04-28,"Florida",32848,710
"Florida.1408",2020-04-29,"Florida",33193,345
"Florida.1409",2020-04-30,"Florida",33690,497
"Florida.1410",2020-05-01,"Florida",34728,1038
"Florida.1411",2020-05-02,"Florida",35463,735
"Florida.1412",2020-05-03,"Florida",36078,615
"Florida.1413",2020-05-04,"Florida",36897,819
"Florida.1414",2020-05-05,"Florida",37439,542
"Florida.1415",2020-05-06,"Florida",38002,563
"Florida.1416",2020-05-07,"Florida",38828,826
"Florida.1417",2020-05-08,"Florida",39199,371
"Florida.1418",2020-05-09,"Florida",40001,802
"Florida.1419",2020-05-10,"Florida",40596,595
"Florida.1420",2020-05-11,"Florida",40982,386
"Florida.1421",2020-05-12,"Florida",41923,941
"Florida.1422",2020-05-13,"Florida",42402,479
"Florida.1423",2020-05-14,"Florida",43210,808
"Florida.1424",2020-05-15,"Florida",44138,928
"Florida.1425",2020-05-16,"Florida",44811,673
"Florida.1426",2020-05-17,"Florida",45588,777
"Florida.1427",2020-05-18,"Florida",46442,854
"Florida.1428",2020-05-19,"Florida",46944,502
"Georgia.1429",2020-01-22,"Georgia",0,0
"Georgia.1430",2020-01-23,"Georgia",0,0
"Georgia.1431",2020-01-24,"Georgia",0,0
"Georgia.1432",2020-01-25,"Georgia",0,0
"Georgia.1433",2020-01-26,"Georgia",0,0
"Georgia.1434",2020-01-27,"Georgia",0,0
"Georgia.1435",2020-01-28,"Georgia",0,0
"Georgia.1436",2020-01-29,"Georgia",0,0
"Georgia.1437",2020-01-30,"Georgia",0,0
"Georgia.1438",2020-01-31,"Georgia",0,0
"Georgia.1439",2020-02-01,"Georgia",0,0
"Georgia.1440",2020-02-02,"Georgia",0,0
"Georgia.1441",2020-02-03,"Georgia",0,0
"Georgia.1442",2020-02-04,"Georgia",0,0
"Georgia.1443",2020-02-05,"Georgia",0,0
"Georgia.1444",2020-02-06,"Georgia",0,0
"Georgia.1445",2020-02-07,"Georgia",0,0
"Georgia.1446",2020-02-08,"Georgia",0,0
"Georgia.1447",2020-02-09,"Georgia",0,0
"Georgia.1448",2020-02-10,"Georgia",0,0
"Georgia.1449",2020-02-11,"Georgia",0,0
"Georgia.1450",2020-02-12,"Georgia",0,0
"Georgia.1451",2020-02-13,"Georgia",0,0
"Georgia.1452",2020-02-14,"Georgia",0,0
"Georgia.1453",2020-02-15,"Georgia",0,0
"Georgia.1454",2020-02-16,"Georgia",0,0
"Georgia.1455",2020-02-17,"Georgia",0,0
"Georgia.1456",2020-02-18,"Georgia",0,0
"Georgia.1457",2020-02-19,"Georgia",0,0
"Georgia.1458",2020-02-20,"Georgia",0,0
"Georgia.1459",2020-02-21,"Georgia",0,0
"Georgia.1460",2020-02-22,"Georgia",0,0
"Georgia.1461",2020-02-23,"Georgia",0,0
"Georgia.1462",2020-02-24,"Georgia",0,0
"Georgia.1463",2020-02-25,"Georgia",0,0
"Georgia.1464",2020-02-26,"Georgia",0,0
"Georgia.1465",2020-02-27,"Georgia",0,0
"Georgia.1466",2020-02-28,"Georgia",0,0
"Georgia.1467",2020-02-29,"Georgia",0,0
"Georgia.1468",2020-03-01,"Georgia",0,0
"Georgia.1469",2020-03-02,"Georgia",0,0
"Georgia.1470",2020-03-03,"Georgia",2,2
"Georgia.1471",2020-03-04,"Georgia",2,0
"Georgia.1472",2020-03-05,"Georgia",2,0
"Georgia.1473",2020-03-06,"Georgia",3,1
"Georgia.1474",2020-03-07,"Georgia",5,2
"Georgia.1475",2020-03-08,"Georgia",5,0
"Georgia.1476",2020-03-09,"Georgia",10,5
"Georgia.1477",2020-03-10,"Georgia",17,7
"Georgia.1478",2020-03-11,"Georgia",23,6
"Georgia.1479",2020-03-12,"Georgia",31,8
"Georgia.1480",2020-03-13,"Georgia",42,11
"Georgia.1481",2020-03-14,"Georgia",73,31
"Georgia.1482",2020-03-15,"Georgia",99,26
"Georgia.1483",2020-03-16,"Georgia",121,22
"Georgia.1484",2020-03-17,"Georgia",146,25
"Georgia.1485",2020-03-18,"Georgia",197,51
"Georgia.1486",2020-03-19,"Georgia",287,90
"Georgia.1487",2020-03-20,"Georgia",485,198
"Georgia.1488",2020-03-21,"Georgia",555,70
"Georgia.1489",2020-03-22,"Georgia",621,66
"Georgia.1490",2020-03-23,"Georgia",772,151
"Georgia.1491",2020-03-24,"Georgia",1026,254
"Georgia.1492",2020-03-25,"Georgia",1247,221
"Georgia.1493",2020-03-26,"Georgia",1525,278
"Georgia.1494",2020-03-27,"Georgia",2000,475
"Georgia.1495",2020-03-28,"Georgia",2366,366
"Georgia.1496",2020-03-29,"Georgia",2651,285
"Georgia.1497",2020-03-30,"Georgia",2808,157
"Georgia.1498",2020-03-31,"Georgia",3929,1121
"Georgia.1499",2020-04-01,"Georgia",4638,709
"Georgia.1500",2020-04-02,"Georgia",5348,710
"Georgia.1501",2020-04-03,"Georgia",5831,483
"Georgia.1502",2020-04-04,"Georgia",6160,329
"Georgia.1503",2020-04-05,"Georgia",6647,487
"Georgia.1504",2020-04-06,"Georgia",7314,667
"Georgia.1505",2020-04-07,"Georgia",8822,1508
"Georgia.1506",2020-04-08,"Georgia",9901,1079
"Georgia.1507",2020-04-09,"Georgia",10566,665
"Georgia.1508",2020-04-10,"Georgia",11485,919
"Georgia.1509",2020-04-11,"Georgia",12159,674
"Georgia.1510",2020-04-12,"Georgia",12452,293
"Georgia.1511",2020-04-13,"Georgia",13315,863
"Georgia.1512",2020-04-14,"Georgia",14578,1263
"Georgia.1513",2020-04-15,"Georgia",14987,409
"Georgia.1514",2020-04-16,"Georgia",15669,682
"Georgia.1515",2020-04-17,"Georgia",17194,1525
"Georgia.1516",2020-04-18,"Georgia",17669,475
"Georgia.1517",2020-04-19,"Georgia",18301,632
"Georgia.1518",2020-04-20,"Georgia",19407,1106
"Georgia.1519",2020-04-21,"Georgia",19881,474
"Georgia.1520",2020-04-22,"Georgia",21214,1333
"Georgia.1521",2020-04-23,"Georgia",21883,669
"Georgia.1522",2020-04-24,"Georgia",22491,608
"Georgia.1523",2020-04-25,"Georgia",23222,731
"Georgia.1524",2020-04-26,"Georgia",23486,264
"Georgia.1525",2020-04-27,"Georgia",24302,816
"Georgia.1526",2020-04-28,"Georgia",24922,620
"Georgia.1527",2020-04-29,"Georgia",25775,853
"Georgia.1528",2020-04-30,"Georgia",26264,489
"Georgia.1529",2020-05-01,"Georgia",27489,1225
"Georgia.1530",2020-05-02,"Georgia",28331,842
"Georgia.1531",2020-05-03,"Georgia",28665,334
"Georgia.1532",2020-05-04,"Georgia",29451,786
"Georgia.1533",2020-05-05,"Georgia",29998,547
"Georgia.1534",2020-05-06,"Georgia",30743,745
"Georgia.1535",2020-05-07,"Georgia",31618,875
"Georgia.1536",2020-05-08,"Georgia",32181,563
"Georgia.1537",2020-05-09,"Georgia",32588,407
"Georgia.1538",2020-05-10,"Georgia",33580,992
"Georgia.1539",2020-05-11,"Georgia",34002,422
"Georgia.1540",2020-05-12,"Georgia",34924,922
"Georgia.1541",2020-05-13,"Georgia",35427,503
"Georgia.1542",2020-05-14,"Georgia",35977,550
"Georgia.1543",2020-05-15,"Georgia",36772,795
"Georgia.1544",2020-05-16,"Georgia",37212,440
"Georgia.1545",2020-05-17,"Georgia",37579,367
"Georgia.1546",2020-05-18,"Georgia",38283,704
"Georgia.1547",2020-05-19,"Georgia",38855,572
"Grand Princess.1548",2020-01-22,"Grand Princess",0,0
"Grand Princess.1549",2020-01-23,"Grand Princess",0,0
"Grand Princess.1550",2020-01-24,"Grand Princess",0,0
"Grand Princess.1551",2020-01-25,"Grand Princess",0,0
"Grand Princess.1552",2020-01-26,"Grand Princess",0,0
"Grand Princess.1553",2020-01-27,"Grand Princess",0,0
"Grand Princess.1554",2020-01-28,"Grand Princess",0,0
"Grand Princess.1555",2020-01-29,"Grand Princess",0,0
"Grand Princess.1556",2020-01-30,"Grand Princess",0,0
"Grand Princess.1557",2020-01-31,"Grand Princess",0,0
"Grand Princess.1558",2020-02-01,"Grand Princess",0,0
"Grand Princess.1559",2020-02-02,"Grand Princess",0,0
"Grand Princess.1560",2020-02-03,"Grand Princess",0,0
"Grand Princess.1561",2020-02-04,"Grand Princess",0,0
"Grand Princess.1562",2020-02-05,"Grand Princess",0,0
"Grand Princess.1563",2020-02-06,"Grand Princess",0,0
"Grand Princess.1564",2020-02-07,"Grand Princess",0,0
"Grand Princess.1565",2020-02-08,"Grand Princess",0,0
"Grand Princess.1566",2020-02-09,"Grand Princess",0,0
"Grand Princess.1567",2020-02-10,"Grand Princess",0,0
"Grand Princess.1568",2020-02-11,"Grand Princess",0,0
"Grand Princess.1569",2020-02-12,"Grand Princess",0,0
"Grand Princess.1570",2020-02-13,"Grand Princess",0,0
"Grand Princess.1571",2020-02-14,"Grand Princess",0,0
"Grand Princess.1572",2020-02-15,"Grand Princess",0,0
"Grand Princess.1573",2020-02-16,"Grand Princess",0,0
"Grand Princess.1574",2020-02-17,"Grand Princess",0,0
"Grand Princess.1575",2020-02-18,"Grand Princess",0,0
"Grand Princess.1576",2020-02-19,"Grand Princess",0,0
"Grand Princess.1577",2020-02-20,"Grand Princess",0,0
"Grand Princess.1578",2020-02-21,"Grand Princess",0,0
"Grand Princess.1579",2020-02-22,"Grand Princess",0,0
"Grand Princess.1580",2020-02-23,"Grand Princess",0,0
"Grand Princess.1581",2020-02-24,"Grand Princess",0,0
"Grand Princess.1582",2020-02-25,"Grand Princess",0,0
"Grand Princess.1583",2020-02-26,"Grand Princess",0,0
"Grand Princess.1584",2020-02-27,"Grand Princess",0,0
"Grand Princess.1585",2020-02-28,"Grand Princess",0,0
"Grand Princess.1586",2020-02-29,"Grand Princess",0,0
"Grand Princess.1587",2020-03-01,"Grand Princess",0,0
"Grand Princess.1588",2020-03-02,"Grand Princess",0,0
"Grand Princess.1589",2020-03-03,"Grand Princess",0,0
"Grand Princess.1590",2020-03-04,"Grand Princess",0,0
"Grand Princess.1591",2020-03-05,"Grand Princess",0,0
"Grand Princess.1592",2020-03-06,"Grand Princess",0,0
"Grand Princess.1593",2020-03-07,"Grand Princess",0,0
"Grand Princess.1594",2020-03-08,"Grand Princess",0,0
"Grand Princess.1595",2020-03-09,"Grand Princess",0,0
"Grand Princess.1596",2020-03-10,"Grand Princess",0,0
"Grand Princess.1597",2020-03-11,"Grand Princess",0,0
"Grand Princess.1598",2020-03-12,"Grand Princess",0,0
"Grand Princess.1599",2020-03-13,"Grand Princess",0,0
"Grand Princess.1600",2020-03-14,"Grand Princess",0,0
"Grand Princess.1601",2020-03-15,"Grand Princess",0,0
"Grand Princess.1602",2020-03-16,"Grand Princess",20,20
"Grand Princess.1603",2020-03-17,"Grand Princess",21,1
"Grand Princess.1604",2020-03-18,"Grand Princess",21,0
"Grand Princess.1605",2020-03-19,"Grand Princess",22,1
"Grand Princess.1606",2020-03-20,"Grand Princess",23,1
"Grand Princess.1607",2020-03-21,"Grand Princess",23,0
"Grand Princess.1608",2020-03-22,"Grand Princess",30,7
"Grand Princess.1609",2020-03-23,"Grand Princess",28,0
"Grand Princess.1610",2020-03-24,"Grand Princess",28,0
"Grand Princess.1611",2020-03-25,"Grand Princess",28,0
"Grand Princess.1612",2020-03-26,"Grand Princess",28,0
"Grand Princess.1613",2020-03-27,"Grand Princess",28,0
"Grand Princess.1614",2020-03-28,"Grand Princess",103,75
"Grand Princess.1615",2020-03-29,"Grand Princess",103,0
"Grand Princess.1616",2020-03-30,"Grand Princess",103,0
"Grand Princess.1617",2020-03-31,"Grand Princess",103,0
"Grand Princess.1618",2020-04-01,"Grand Princess",103,0
"Grand Princess.1619",2020-04-02,"Grand Princess",103,0
"Grand Princess.1620",2020-04-03,"Grand Princess",103,0
"Grand Princess.1621",2020-04-04,"Grand Princess",103,0
"Grand Princess.1622",2020-04-05,"Grand Princess",103,0
"Grand Princess.1623",2020-04-06,"Grand Princess",103,0
"Grand Princess.1624",2020-04-07,"Grand Princess",103,0
"Grand Princess.1625",2020-04-08,"Grand Princess",103,0
"Grand Princess.1626",2020-04-09,"Grand Princess",103,0
"Grand Princess.1627",2020-04-10,"Grand Princess",103,0
"Grand Princess.1628",2020-04-11,"Grand Princess",103,0
"Grand Princess.1629",2020-04-12,"Grand Princess",103,0
"Grand Princess.1630",2020-04-13,"Grand Princess",103,0
"Grand Princess.1631",2020-04-14,"Grand Princess",103,0
"Grand Princess.1632",2020-04-15,"Grand Princess",103,0
"Grand Princess.1633",2020-04-16,"Grand Princess",103,0
"Grand Princess.1634",2020-04-17,"Grand Princess",103,0
"Grand Princess.1635",2020-04-18,"Grand Princess",103,0
"Grand Princess.1636",2020-04-19,"Grand Princess",103,0
"Grand Princess.1637",2020-04-20,"Grand Princess",103,0
"Grand Princess.1638",2020-04-21,"Grand Princess",103,0
"Grand Princess.1639",2020-04-22,"Grand Princess",103,0
"Grand Princess.1640",2020-04-23,"Grand Princess",103,0
"Grand Princess.1641",2020-04-24,"Grand Princess",103,0
"Grand Princess.1642",2020-04-25,"Grand Princess",103,0
"Grand Princess.1643",2020-04-26,"Grand Princess",103,0
"Grand Princess.1644",2020-04-27,"Grand Princess",103,0
"Grand Princess.1645",2020-04-28,"Grand Princess",103,0
"Grand Princess.1646",2020-04-29,"Grand Princess",103,0
"Grand Princess.1647",2020-04-30,"Grand Princess",103,0
"Grand Princess.1648",2020-05-01,"Grand Princess",103,0
"Grand Princess.1649",2020-05-02,"Grand Princess",103,0
"Grand Princess.1650",2020-05-03,"Grand Princess",103,0
"Grand Princess.1651",2020-05-04,"Grand Princess",103,0
"Grand Princess.1652",2020-05-05,"Grand Princess",103,0
"Grand Princess.1653",2020-05-06,"Grand Princess",103,0
"Grand Princess.1654",2020-05-07,"Grand Princess",103,0
"Grand Princess.1655",2020-05-08,"Grand Princess",103,0
"Grand Princess.1656",2020-05-09,"Grand Princess",103,0
"Grand Princess.1657",2020-05-10,"Grand Princess",103,0
"Grand Princess.1658",2020-05-11,"Grand Princess",103,0
"Grand Princess.1659",2020-05-12,"Grand Princess",103,0
"Grand Princess.1660",2020-05-13,"Grand Princess",103,0
"Grand Princess.1661",2020-05-14,"Grand Princess",103,0
"Grand Princess.1662",2020-05-15,"Grand Princess",103,0
"Grand Princess.1663",2020-05-16,"Grand Princess",103,0
"Grand Princess.1664",2020-05-17,"Grand Princess",103,0
"Grand Princess.1665",2020-05-18,"Grand Princess",103,0
"Grand Princess.1666",2020-05-19,"Grand Princess",103,0
"Guam.1667",2020-01-22,"Guam",0,0
"Guam.1668",2020-01-23,"Guam",0,0
"Guam.1669",2020-01-24,"Guam",0,0
"Guam.1670",2020-01-25,"Guam",0,0
"Guam.1671",2020-01-26,"Guam",0,0
"Guam.1672",2020-01-27,"Guam",0,0
"Guam.1673",2020-01-28,"Guam",0,0
"Guam.1674",2020-01-29,"Guam",0,0
"Guam.1675",2020-01-30,"Guam",0,0
"Guam.1676",2020-01-31,"Guam",0,0
"Guam.1677",2020-02-01,"Guam",0,0
"Guam.1678",2020-02-02,"Guam",0,0
"Guam.1679",2020-02-03,"Guam",0,0
"Guam.1680",2020-02-04,"Guam",0,0
"Guam.1681",2020-02-05,"Guam",0,0
"Guam.1682",2020-02-06,"Guam",0,0
"Guam.1683",2020-02-07,"Guam",0,0
"Guam.1684",2020-02-08,"Guam",0,0
"Guam.1685",2020-02-09,"Guam",0,0
"Guam.1686",2020-02-10,"Guam",0,0
"Guam.1687",2020-02-11,"Guam",0,0
"Guam.1688",2020-02-12,"Guam",0,0
"Guam.1689",2020-02-13,"Guam",0,0
"Guam.1690",2020-02-14,"Guam",0,0
"Guam.1691",2020-02-15,"Guam",0,0
"Guam.1692",2020-02-16,"Guam",0,0
"Guam.1693",2020-02-17,"Guam",0,0
"Guam.1694",2020-02-18,"Guam",0,0
"Guam.1695",2020-02-19,"Guam",0,0
"Guam.1696",2020-02-20,"Guam",0,0
"Guam.1697",2020-02-21,"Guam",0,0
"Guam.1698",2020-02-22,"Guam",0,0
"Guam.1699",2020-02-23,"Guam",0,0
"Guam.1700",2020-02-24,"Guam",0,0
"Guam.1701",2020-02-25,"Guam",0,0
"Guam.1702",2020-02-26,"Guam",0,0
"Guam.1703",2020-02-27,"Guam",0,0
"Guam.1704",2020-02-28,"Guam",0,0
"Guam.1705",2020-02-29,"Guam",0,0
"Guam.1706",2020-03-01,"Guam",0,0
"Guam.1707",2020-03-02,"Guam",0,0
"Guam.1708",2020-03-03,"Guam",0,0
"Guam.1709",2020-03-04,"Guam",0,0
"Guam.1710",2020-03-05,"Guam",0,0
"Guam.1711",2020-03-06,"Guam",0,0
"Guam.1712",2020-03-07,"Guam",0,0
"Guam.1713",2020-03-08,"Guam",0,0
"Guam.1714",2020-03-09,"Guam",0,0
"Guam.1715",2020-03-10,"Guam",0,0
"Guam.1716",2020-03-11,"Guam",0,0
"Guam.1717",2020-03-12,"Guam",0,0
"Guam.1718",2020-03-13,"Guam",0,0
"Guam.1719",2020-03-14,"Guam",0,0
"Guam.1720",2020-03-15,"Guam",0,0
"Guam.1721",2020-03-16,"Guam",3,3
"Guam.1722",2020-03-17,"Guam",3,0
"Guam.1723",2020-03-18,"Guam",5,2
"Guam.1724",2020-03-19,"Guam",12,7
"Guam.1725",2020-03-20,"Guam",14,2
"Guam.1726",2020-03-21,"Guam",15,1
"Guam.1727",2020-03-22,"Guam",27,12
"Guam.1728",2020-03-23,"Guam",29,2
"Guam.1729",2020-03-24,"Guam",32,3
"Guam.1730",2020-03-25,"Guam",37,5
"Guam.1731",2020-03-26,"Guam",45,8
"Guam.1732",2020-03-27,"Guam",51,6
"Guam.1733",2020-03-28,"Guam",55,4
"Guam.1734",2020-03-29,"Guam",56,1
"Guam.1735",2020-03-30,"Guam",58,2
"Guam.1736",2020-03-31,"Guam",69,11
"Guam.1737",2020-04-01,"Guam",77,8
"Guam.1738",2020-04-02,"Guam",82,5
"Guam.1739",2020-04-03,"Guam",84,2
"Guam.1740",2020-04-04,"Guam",93,9
"Guam.1741",2020-04-05,"Guam",112,19
"Guam.1742",2020-04-06,"Guam",113,1
"Guam.1743",2020-04-07,"Guam",121,8
"Guam.1744",2020-04-08,"Guam",121,0
"Guam.1745",2020-04-09,"Guam",128,7
"Guam.1746",2020-04-10,"Guam",130,2
"Guam.1747",2020-04-11,"Guam",133,3
"Guam.1748",2020-04-12,"Guam",133,0
"Guam.1749",2020-04-13,"Guam",133,0
"Guam.1750",2020-04-14,"Guam",133,0
"Guam.1751",2020-04-15,"Guam",135,2
"Guam.1752",2020-04-16,"Guam",135,0
"Guam.1753",2020-04-17,"Guam",136,1
"Guam.1754",2020-04-18,"Guam",136,0
"Guam.1755",2020-04-19,"Guam",136,0
"Guam.1756",2020-04-20,"Guam",136,0
"Guam.1757",2020-04-21,"Guam",136,0
"Guam.1758",2020-04-22,"Guam",136,0
"Guam.1759",2020-04-23,"Guam",139,3
"Guam.1760",2020-04-24,"Guam",141,2
"Guam.1761",2020-04-25,"Guam",141,0
"Guam.1762",2020-04-26,"Guam",141,0
"Guam.1763",2020-04-27,"Guam",141,0
"Guam.1764",2020-04-28,"Guam",141,0
"Guam.1765",2020-04-29,"Guam",141,0
"Guam.1766",2020-04-30,"Guam",145,4
"Guam.1767",2020-05-01,"Guam",145,0
"Guam.1768",2020-05-02,"Guam",145,0
"Guam.1769",2020-05-03,"Guam",145,0
"Guam.1770",2020-05-04,"Guam",145,0
"Guam.1771",2020-05-05,"Guam",145,0
"Guam.1772",2020-05-06,"Guam",149,4
"Guam.1773",2020-05-07,"Guam",149,0
"Guam.1774",2020-05-08,"Guam",151,2
"Guam.1775",2020-05-09,"Guam",151,0
"Guam.1776",2020-05-10,"Guam",151,0
"Guam.1777",2020-05-11,"Guam",151,0
"Guam.1778",2020-05-12,"Guam",152,1
"Guam.1779",2020-05-13,"Guam",152,0
"Guam.1780",2020-05-14,"Guam",152,0
"Guam.1781",2020-05-15,"Guam",154,2
"Guam.1782",2020-05-16,"Guam",154,0
"Guam.1783",2020-05-17,"Guam",154,0
"Guam.1784",2020-05-18,"Guam",154,0
"Guam.1785",2020-05-19,"Guam",154,0
"Hawaii.1786",2020-01-22,"Hawaii",0,0
"Hawaii.1787",2020-01-23,"Hawaii",0,0
"Hawaii.1788",2020-01-24,"Hawaii",0,0
"Hawaii.1789",2020-01-25,"Hawaii",0,0
"Hawaii.1790",2020-01-26,"Hawaii",0,0
"Hawaii.1791",2020-01-27,"Hawaii",0,0
"Hawaii.1792",2020-01-28,"Hawaii",0,0
"Hawaii.1793",2020-01-29,"Hawaii",0,0
"Hawaii.1794",2020-01-30,"Hawaii",0,0
"Hawaii.1795",2020-01-31,"Hawaii",0,0
"Hawaii.1796",2020-02-01,"Hawaii",0,0
"Hawaii.1797",2020-02-02,"Hawaii",0,0
"Hawaii.1798",2020-02-03,"Hawaii",0,0
"Hawaii.1799",2020-02-04,"Hawaii",0,0
"Hawaii.1800",2020-02-05,"Hawaii",0,0
"Hawaii.1801",2020-02-06,"Hawaii",0,0
"Hawaii.1802",2020-02-07,"Hawaii",0,0
"Hawaii.1803",2020-02-08,"Hawaii",0,0
"Hawaii.1804",2020-02-09,"Hawaii",0,0
"Hawaii.1805",2020-02-10,"Hawaii",0,0
"Hawaii.1806",2020-02-11,"Hawaii",0,0
"Hawaii.1807",2020-02-12,"Hawaii",0,0
"Hawaii.1808",2020-02-13,"Hawaii",0,0
"Hawaii.1809",2020-02-14,"Hawaii",0,0
"Hawaii.1810",2020-02-15,"Hawaii",0,0
"Hawaii.1811",2020-02-16,"Hawaii",0,0
"Hawaii.1812",2020-02-17,"Hawaii",0,0
"Hawaii.1813",2020-02-18,"Hawaii",0,0
"Hawaii.1814",2020-02-19,"Hawaii",0,0
"Hawaii.1815",2020-02-20,"Hawaii",0,0
"Hawaii.1816",2020-02-21,"Hawaii",0,0
"Hawaii.1817",2020-02-22,"Hawaii",0,0
"Hawaii.1818",2020-02-23,"Hawaii",0,0
"Hawaii.1819",2020-02-24,"Hawaii",0,0
"Hawaii.1820",2020-02-25,"Hawaii",0,0
"Hawaii.1821",2020-02-26,"Hawaii",0,0
"Hawaii.1822",2020-02-27,"Hawaii",0,0
"Hawaii.1823",2020-02-28,"Hawaii",0,0
"Hawaii.1824",2020-02-29,"Hawaii",0,0
"Hawaii.1825",2020-03-01,"Hawaii",0,0
"Hawaii.1826",2020-03-02,"Hawaii",0,0
"Hawaii.1827",2020-03-03,"Hawaii",0,0
"Hawaii.1828",2020-03-04,"Hawaii",0,0
"Hawaii.1829",2020-03-05,"Hawaii",0,0
"Hawaii.1830",2020-03-06,"Hawaii",0,0
"Hawaii.1831",2020-03-07,"Hawaii",1,1
"Hawaii.1832",2020-03-08,"Hawaii",1,0
"Hawaii.1833",2020-03-09,"Hawaii",1,0
"Hawaii.1834",2020-03-10,"Hawaii",3,2
"Hawaii.1835",2020-03-11,"Hawaii",2,0
"Hawaii.1836",2020-03-12,"Hawaii",2,0
